Авиамоторная;55.75208,37.71677
Марьина роща;55.793602,37.615762
Марьино;55.65193,37.74771
Маяковская;55.76909,37.59635
Медведково;55.88594,37.6612
Международная;55.74831027719929,37.5341552116394
Менделеевская;55.78251,37.59792
Минская;55.731548,37.491016
Митино;55.84589,37.35909
Молодежная;55.74001,37.41724
Нагатинская;55.68386,37.62285
Нагорная;55.67283,37.61019
Нахимовский проспект;55.66376,37.60767
Новогиреево;55.75111,37.81564
Новокосино;55.740539,37.856347
Новокузнецкая;55.74212,37.62901
Новослободская;55.77921,37.6009
Новые черемушки;55.66892,37.55417
Октябрьская;55.729,37.61139
Октябрьское поле;55.793615,37.493496
Орехово;55.61214,37.69584
Отрадное;55.86417,37.60488
Охотный ряд;55.75703,37.61614
Павелецкая;55.7313,37.63612
Парк Победы;55.736559,37.512591
Парк культуры;55.73512,37.59328
Партизанская;55.78962,37.7479
Первомайская;55.79342,37.79979
Перово;55.75109,37.78854
Петровско-Разумовская;55.83712,37.57349
Печатники;55.69252,37.7295
Пионерская;55.73583,37.46731
Планерная;55.85931,37.43687
Площадь Ильича;55.745663,37.681123
Площадь Революции;55.75646,37.62321
Площадь Суворова;55.781984,37.614487
Полежаевская;55.77691,37.51692
Полянка;55.73654,37.61856
Пражская;55.61354,37.60499
Преображенская площадь;55.79655,37.71591
Пролетарская;55.73171,37.66726
Пронская;55.698344,37.850869
Проспект Вернадского;55.67613,37.5045
Проспект мира;55.781196,37.633529
Профсоюзная;55.67822,37.56381
Пушкинская;55.76565,37.60417
Речной вокзал;55.85378,37.47679
Рижская;55.79222,37.63557
Римская;55.746487,37.682631
Рязанский проспект;55.71753,37.79425
Савеловская;55.79421,37.58666
Свиблово;55.85543,37.65419
Севастопольская;55.65121,37.59939
Семеновская;55.78279,37.71844
Семёновская;55.78279,37.71844
Серпуховская;55.72658,37.62462
Славянский бульвар;55.729508,37.468829 
Смоленская;55.74823,37.58384
Сокольники;55.78893,37.67943
Сокол;55.80518,37.51495
Спортивная;55.72397,37.56547
Сретенский бульвар;55.765551,37.635261
Строгино;55.80435,37.396363
Студенческая;55.73873,37.54825
Сухаревская;55.77211,37.63239
Сходненская;55.84937,37.43951
Таганская;55.74255,37.65389
Тверская;55.7652,37.60352
Театральная;55.75857,37.6177
Текстильшики;55.70947,37.73282
Теплый стан;55.61814,37.50814
Технопарк;55.693931,37.664420
Тимирязевская;55.81842,37.57571
Третьяковская;55.74061,37.62492
Трубная;55.767605,37.6221
Тульская;55.70901,37.6226
Тургеневская;55.7646,37.63623
Тушинская;55.8258,37.43621
Улица Академика Янгеля;55.596141,37.59981
Бульвар Рокоссовского;55.81336,37.73524
Улица Подбельского;55.81503,37.73209
Улица 1905 года;55.76355,37.56375
Университет;55.69167,37.53433
Филевский парк;55.73953,37.48366
Фили;55.74673,37.51384
Фрунзенская;55.72718,37.58036
Царицино;55.62011,37.66939
Цветной бульвар;55.7716,37.62058
Черкизовская;55.802,37.74438
Чертаново;55.63978,37.60893
Чеховская;55.76596,37.6075
Чистые пруды;55.76426,37.6389
Чкаловская;55.756218,37.659375
Шаболовская;55.71886,37.60797
Шоссе энтузиастов;55.75837,37.75155
Щелковская;55.80955,37.79884
Щукинская;55.80796,37.46629
Электрозаводская;55.78177,37.70471
Юго-западная;55.66464,37.48421
Южная;55.62122,37.60752
Ясенево;55.60535,37.53494
